coefficient,Estimate,Std.Error,AdjustedSE,zvalue,Pr(>|z|),mod_number,mod_names
DPSIRRESISTANCE,0.18824641772732192,0.09561201881459157,0.09601029358450626,1.960689949996157,0.0499152,3,DPSEA.noDr
DPSIRDRI,0.33038648309986957,0.07825273180519701,0.0787089353607988,4.197572760772209,2.7e-5,3,DPSEA.noDr
General,-0.2152535963934031,0.07117881161593115,0.07161777774380607,3.00558887994845,0.0026507,3,DPSEA.noDr
RESPONSE,-0.18829069577225477,0.09524813680991451,0.09566734769269215,1.96818141522113,0.0490472,3,DPSEA.noDr
MonitoringandSurveillance,-0.14614953401901318,0.10796809088573374,0.10832593829125345,1.3491647182973325,0.1772841,3,DPSEA.noDr
x0008,0.1561556375826413,0.10988949621731602,0.11053020611373748,1.4127869934663333,0.1577184,3,DPSEA.noDr
AwarenessandEducation,0.04495838671153593,0.13437948249105322,0.13481483638352895,0.3334824854412592,0.7387701,3,DPSEA.noDr
DPSIRUSE:MonitoringandSurveillance,-0.5863952487235641,0.16394912807757792,0.16502869952870008,3.553292550921328,3.804e-4,3,DPSEA.noDr
DPSIRRESISTANCE:MonitoringandSurveillance,-0.43776270825794467,0.2898176199091434,0.2917260096160898,1.5005954005748015,0.1334602,3,DPSEA.noDr
DPSIRDRI:MonitoringandSurveillance,-0.12406149213244536,0.29845216393356666,0.3004174103455869,0.4129637226741636,0.6796332,3,DPSEA.noDr
(Intercept),0,0,0,NA,NA,4,aP.noDr
DPSIRUSE,0.5524344295148947,0.07247622132293345,0.07294106804495068,7.573709082165501,0,4,aP.noDr
DPSIRRESISTANCE,0.1738967014682086,0.08166284429826151,0.08209790284772656,2.1181625283504317,0.0341613,4,aP.noDr
DPSIRDRI,0.330212431547388,0.07351885565677778,0.07396406566492046,4.464498112412452,8e-6,4,aP.noDr
General,-0.21685919516073607,0.07379264859502241,0.0742690026802599,2.9199152719789447,0.0035013,4,aP.noDr
RESPONSE,-0.19790398211989518,0.09417860343231871,0.09463285470211827,2.0912819627268973,0.0365028,4,aP.noDr
MonitoringandSurveillance,-0.1853952025813379,0.08267592431619615,0.08311827216764126,2.2304987549237585,0.0257144,4,aP.noDr
x0008,0.14997492369517854,0.11316208268148842,0.11384421757381387,1.3173697082852573,0.1877147,4,aP.noDr
AwarenessandEducation,0.09706129398756942,0.11032222122445086,0.11104143646760474,0.8740997691963946,0.3820639,4,aP.noDr
(Intercept),0,0,0,NA,NA,5,aS.noDr
DPSIRUSE,0.475759164102519,0.08538287360485464,0.08611623995990107,5.524616080823433,0,5,aS.noDr
DPSIRRESISTANCE,0.18085973981492307,0.09165811719253769,0.09238816850399449,1.9576071562356323,0.0502761,5,aS.noDr
DPSIRDRI,0.352573316076369,0.084952303194899,0.0856704032870745,4.115462313103917,3.86e-5,5,aS.noDr
General,-0.24175511170004552,0.09961328231608507,0.10033628955238058,2.409448393782164,0.0159767,5,aS.noDr
RESPONSE,-0.1117206830060455,0.1644067790992506,0.1650333867283664,0.6769580702475073,0.4984326,5,aS.noDr
MonitoringandSurveillance,-0.12637381779232212,0.09710140170022664,0.09774860365486368,1.292845248598435,0.1960646,5,aS.noDr
AwarenessandEducation,0.0959435159630719,0.1509633997634063,0.15159027056828073,0.6329134159032727,0.5267902,5,aS.noDr
x0008,0.14435554082224197,0.14132723067127329,0.14255222932138886,1.0126501809858581,0.3112273,5,aS.noDr
(Intercept),0,0,0,NA,NA,6,aE.noDr
DPSIRUSE,0.4484348443759405,0.09225636624385943,0.09315093442551423,4.814067053020493,1.5e-6,6,aE.noDr
DPSIRRESISTANCE,0.14216628912039497,0.09494800436086373,0.09584908173380942,1.4832305802909722,0.1380132,6,aE.noDr
DPSIRDRI,0.35307308040500435,0.09127864284651621,0.09215676110376209,3.8312227575735727,1.275e-4,6,aE.noDr
General,-0.21568035637494265,0.10124850436185485,0.10213921093141087,2.111631315810513,0.0347181,6,aE.noDr
RESPONSE,-0.12174592518520486,0.14521324088204593,0.14598454700310948,0.8339644687366237,0.404301,6,aE.noDr
MonitoringandSurveillance,-0.14446015504661355,0.09305782747610875,0.09386650382482035,1.5389957989296617,0.1238053,6,aE.noDr
AwarenessandEducation,-0.024846177545541928,0.14541769542123037,0.14610330202242186,0.17005897335385953,0.8649638,6,aE.noDr
x0008,0.0835114959746405,0.15061716447345913,0.1520780965474427,0.5491355946093659,0.5829124,6,aE.noDr
(Intercept),0,0,0,NA,NA,7,aP
DPSIRUSE,0.7180697380405796,0.31214924206194145,0.3127907768009597,2.295687057606286,0.0216938,7,aP
DPSIRRESISTANCE,0.15326138013389168,0.3344664098523634,0.33586047258982543,0.4563245533244527,0.6481566,7,aP
DPSIRDRI,0.04609753645997272,0.604657830869937,0.6055502223888344,0.07612504257388034,0.9393196,7,aP
workTotal,0.1257316456149847,0.11093150954920959,0.11183932648389794,1.1242167631712885,0.2609211,7,aP
DPSIRUSE:workTotal,-0.49312578588562644,0.14581119125126288,0.14708257922330692,3.352713750939479,8.002e-4,7,aP
DPSIRRESISTANCE:workTotal,0.2617547311200889,0.2559564558913524,0.25818824589728223,1.013813507312899,0.3106717,7,aP
DPSIRDRI:workTotal,0.6247499389188967,0.2762266424299397,0.2786351765604809,2.2421789905743923,0.0249498,7,aP
General,-0.20390993653363262,0.07861727049176838,0.07927094300127031,2.572316271428296,0.0101021,7,aP
RESPONSE,-0.1817837225763536,0.10155255746112339,0.10218122657072554,1.7790324962534148,0.0752344,7,aP
MonitoringandSurveillance,-0.15746731817861534,0.09969808544119786,0.1003104009771004,1.569800505678002,0.1164615,7,aP
sanTotal,0.10306339441761422,0.102952902793887,0.10366152540475533,0.9942299615522185,0.3201109,7,aP
DPSIRUSE:sanTotal,-1.400337385374841,0.703157632601962,0.7092887542865833,1.9742839244410806,0.0483495,7,aP
DPSIRRESISTANCE:sanTotal,-1.1561270885581807,1.090397282491091,1.099904906548011,1.0511154934171716,0.2932055,7,aP
DPSIRDRI:sanTotal,2.921194887502877,1.1815833930837296,1.1918861064834505,2.450901031241644,0.0142499,7,aP
x0008,0.1490550684573834,0.1169809788403175,0.1179013796152451,1.2642351509694294,0.2061456,7,aP
AwarenessandEducation,0.03357578694656453,0.1408533041677354,0.14146775826631255,0.23733879265520155,0.812394,7,aP
infTotal,0.006247225135101607,0.07400891252067199,0.07464199172694061,0.08369585256989853,0.9332983,7,aP
vacTotal,0.07450491093286306,0.07647005912874892,0.07708487435442554,0.9665308733630391,0.3337786,7,aP
(Intercept),0,0,0,NA,NA,8,aS
DPSIRUSE,1.107277097908661,1.1521569607498838,1.1545512432232752,0.9590540951801895,0.3375315,8,aS
DPSIRRESISTANCE,0.5417969573460482,0.9096168933153597,0.9154289989306621,0.591850332444063,0.5539508,8,aS
DPSIRDRI,-0.4586697079078907,1.5224100982674804,1.5262303911700719,0.30052455419673263,0.7637771,8,aS
sanTotal,0.12463261247064407,0.12531276762725121,0.12669860182472864,0.9836936688777149,0.3252662,8,aS
DPSIRUSE:sanTotal,-2.552357005556123,0.972168599447094,0.9841983985617102,2.5933358652951393,0.009505,8,aS
DPSIRRESISTANCE:sanTotal,-1.5397237626715996,1.359531349050517,1.3763544484886212,1.1186971236677985,0.2632694,8,aS
DPSIRDRI:sanTotal,3.2314658027779086,1.4245959389723768,1.4422241600186876,2.240612723292638,0.0250512,8,aS
General,-0.22987890795958624,0.10532622980159727,0.10646183357552186,2.1592612135175635,0.0308299,8,aS
RESPONSE,-0.1403601771655477,0.15698645269367004,0.15800382687999776,0.8883340355556689,0.3743611,8,aS
workTotal,0.13216827636555842,0.13248962900781855,0.13382721912013623,0.987603846470959,0.3233467,8,aS
DPSIRUSE:workTotal,-0.6602203984730688,0.21850938249458993,0.22121325914475512,2.9845426129771044,0.00284,8,aS
DPSIRRESISTANCE:workTotal,0.1539688637627346,0.30150473108878995,0.3052356079646398,0.5044262849587694,0.6139619,8,aS
DPSIRDRI:workTotal,0.6772184037677585,0.3432413642917593,0.34748869820339257,1.9488933230610226,0.0513082,8,aS
x0008,0.18475849775077352,0.15476018297958968,0.15661034676157382,1.1797336610974556,0.2381062,8,aS
MonitoringandSurveillance,-0.12049445854567684,0.12603156307506225,0.12709480044847263,0.9480675694087758,0.3430951,8,aS
infTotal,0.07243568725037744,0.0920795909207279,0.0931878135964462,0.777308582043391,0.4369767,8,aS
AwarenessandEducation,0.11223948065954378,0.15800021334625264,0.15906628415864565,0.705614525750794,0.4804279,8,aS
vacTotal,0.02056750072160326,0.09335188649697326,0.09447533345582304,0.21770233530025787,0.827661,8,aS
(Intercept),0,0,0,NA,NA,9,aE
DPSIRUSE,0.8196409190299089,0.7140454256908418,0.7163729743819861,1.1441538812055436,0.2525598,9,aE
DPSIRRESISTANCE,0.08179587589383272,0.5781374538577995,0.5839220113903523,0.1400801379264193,0.8885967,9,aE
DPSIRDRI,-0.1327088029178493,1.0479357228791633,1.0509623610582217,0.12627360201960405,0.8995154,9,aE
workTotal,0.15444153553940088,0.1400308385380782,0.14186402102526305,1.0886589455398141,0.2763043,9,aE
DPSIRUSE:workTotal,-0.7211069403767402,0.24913558549988904,0.2525694888181702,2.8550833426118203,0.0043026,9,aE
DPSIRRESISTANCE:workTotal,0.4840457243338784,0.35406717772318663,0.3589473816251645,1.3485144316760875,0.177493,9,aE
DPSIRDRI:workTotal,0.7418249106335936,0.36530873267041836,0.37034388197194035,2.0030705156614386,0.0451697,9,aE
sanTotal,0.11206828008330819,0.13941967279440676,0.14109155074200028,0.7942947645974635,0.4270239,9,aE
DPSIRUSE:sanTotal,-2.280373306325805,1.1337831114133878,1.1494103514187917,1.9839505564840203,0.0472614,9,aE
DPSIRRESISTANCE:sanTotal,-0.6605564265962228,1.6354485520729902,1.6579903828539009,0.39840787584015186,0.6903296,9,aE
DPSIRDRI:sanTotal,3.4527787568376147,1.5749768020540005,1.5966851343098576,2.16246690261197,0.0305822,9,aE
General,-0.19770888087897623,0.10831131922749639,0.10968285091551176,1.8025505284437815,0.0714588,9,aE
RESPONSE,-0.1285683281525635,0.13719053871476908,0.1385277964743019,0.9281049105290144,0.3533532,9,aE
MonitoringandSurveillance,-0.13700344259878328,0.13306409526003757,0.13435348768118974,1.0197237523441272,0.3078595,9,aE
infTotal,0.02993163629281981,0.1116071823659757,0.11293484824149033,0.2650345465450711,0.7909828,9,aE
x0008,0.1157583200924012,0.16558476531715155,0.1677867080245954,0.6899135304295528,0.4902486,9,aE
AwarenessandEducation,0.027447893737678673,0.15206434036332075,0.15332606454931136,0.17901648893395503,0.8579248,9,aE
vacTotal,0.03547097118804683,0.14717123508655855,0.1482561900339434,0.23925457129260988,0.8109082,9,aE
DPSIRUSE:infTotal,0.16028366619177603,0.13594022485578577,0.13781392582982982,1.1630440481732698,0.2448116,9,aE
DPSIRRESISTANCE:infTotal,-0.13627683476209906,0.14436203543181866,0.14635181650427556,0.9311591616501586,0.3517712,9,aE
DPSIRDRI:infTotal,0.0623277462438391,0.15101645038149825,0.15309795105929003,0.4071102572737993,0.683927,9,aE
DPSIRUSE:vacTotal,-2.2020522212016833,0.7792972934843859,0.7900385593563574,2.7872718301188875,0.0053154,9,aE
DPSIRRESISTANCE:vacTotal,0.965619049119617,1.3316701474945687,1.350024918167583,0.7152601675162203,0.4744483,9,aE
DPSIRDRI:vacTotal,-2.122718566343538,1.2987913439663412,1.3166929371765286,1.6121591499498915,0.1069273,9,aE
incomeHIC,-0.048765047736918365,0.1014138184792813,0.10272223698669868,0.4747272758792516,0.6349814,9,aE
GDPcap_mean,-0.17077437102053553,0.09833127424552911,0.09964183007844621,1.7138823211706165,0.0865503,9,aE
meantmpAreaPop,0.06689614582872318,0.10030081684947804,0.10163762267831546,0.6581829057577473,0.5104206,9,aE
gini,0.07782210528089556,0.10057185530275614,0.10191227352275409,0.7636185769471634,0.4450946,9,aE
(Intercept),0,0,0,NA,NA,10,Dr
x0008,1.1591615703797833,0.2130077096666698,0.21395204927102934,5.417856825065439,1e-7,10,Dr
RESPONSE,-0.09455435826318752,0.05774191681070628,0.058003857484314476,1.6301391383970816,0.1030721,10,Dr
General,-0.09571025537367452,0.056035797673587906,0.05628999870118647,1.7003065834438749,0.0890733,10,Dr
AwarenessandEducation,-0.07590203199165785,0.05678986090430671,0.05704748266750789,1.3305062457188632,0.1833515,10,Dr
incomeHIC,0.04292987059963881,0.059582602629829756,0.05985289339830825,0.7172563958428821,0.4732159,10,Dr
(Intercept),0,0,0,NA,NA,11,P
MonitoringandSurveillance,-0.23816208145278864,0.13940903158457646,0.14019307259731859,1.6988149060465336,0.0893541,11,P
workTotal,-0.24433342319538875,0.1262827200802292,0.12702563537483377,1.9234969577156384,0.0544177,11,P
RESPONSE,-0.17072665220914393,0.15587860408142643,0.1566515793927764,1.0898495429853072,0.2757794,11,P
incomeHIC,-0.07701112289706219,0.3217907921482096,0.32302761615544723,0.2384041457929186,0.8115677,11,P
General,-0.1662431878859462,0.11341376666705692,0.11416185040216169,1.4562061432984474,0.1453356,11,P
sanTotal,0.08146251751660312,0.1529870597040537,0.15375466316355466,0.5298214430735565,0.5962357,11,P
incomeHIC:MonitoringandSurveillance,-0.760356829215929,0.3875380075980091,0.3905102865903597,1.9470852761774584,0.0515245,11,P
infTotal,-0.01349983475611505,0.10482521919141337,0.10554209952786954,0.12790947703812042,0.8982206,11,P
AwarenessandEducation,0.02368214762484864,0.1567191766395999,0.15746763231250893,0.15039374935065544,0.880454,11,P
vacTotal,0.012085836267327892,0.10804750821436968,0.10875027525975779,0.1111338453025522,0.9115102,11,P
incomeHIC:workTotal,-0.5051401504547623,0.32473276413253394,0.32722334919525187,1.543716705110028,0.122657,11,P
meantmpAreaPop,0.10164088868441018,0.170400684697745,0.1709769305944764,0.5944713613176408,0.5521969,11,P
incomeHIC:sanTotal,-1.2210725830788067,1.466703794568871,1.4779528921828524,0.8261918154071555,0.4086953,11,P
incomeHIC:infTotal,-0.01658383458809985,0.11775296063982126,0.11865608406084031,0.13976387910793153,0.8888466,11,P
x0008,0.03205979868320223,0.07232005371967297,0.07285929617307273,0.4400234474822015,0.6599201,11,P
AwarenessandEducation:incomeHIC,-0.6088451755813036,0.32678260122316416,0.3292889078089398,1.8489695861075528,0.0644622,11,P
incomeHIC:RESPONSE,-0.3164310622180464,0.42580477843028125,0.4290705499751554,0.7374802634120864,0.4608303,11,P
gini,0.14174954128258274,0.09614381406164717,0.09687197493344535,1.4632667639941268,0.1433944,11,P
General:incomeHIC,-0.025701491059532844,0.296427929245289,0.2987014262689814,0.08604408549555631,0.9314314,11,P
incomeHIC:meantmpAreaPop,0.6486241196045335,0.2090847218729708,0.21068832749167216,3.0785954178224304,0.0020798,11,P
(Intercept),0,0,0,NA,NA,12,S
incomeHIC,-0.37618553638906643,2.033978541453708,2.0683161070959417,0.18188009806550162,0.8556768,12,S
x0008,-0.5183609002006203,0.13778890507093125,0.14056431518669427,3.6877133397060655,2.263e-4,12,S
MonitoringandSurveillance,-0.29378934847780097,0.29193439468783594,0.2968289521480093,0.9897597466547243,0.3222916,12,S
infTotal,0.10167838773557851,0.16976515670991107,0.17292105268959,0.58800467701351,0.5565292,12,S
meantmpAreaPop,0.41932673781997165,0.14856088185504265,0.15174838688125541,2.763302770052501,0.005722,12,S
sanTotal,-0.11643166026825498,0.8564823979838386,0.871221825856382,0.13364180833487102,0.8936858,12,S
workTotal,0.1609248043165383,0.2867464356671319,0.2920020124605346,0.5511085453162349,0.5815593,12,S
incomeHIC:x0008,0.20028676481689736,0.29736376334107417,0.3043097639439411,0.658167395686303,0.5104306,12,S
vacTotal,0.12563446226131886,0.35906871634316423,0.36564132179284736,0.34360028468690573,0.7311469,12,S
General,-0.22800804327355909,0.20868943457583816,0.21230667038343656,1.0739560978548863,0.2828424,12,S
RESPONSE,-0.11544804443607411,0.23673906483149945,0.24015763717382446,0.4807177726874186,0.6307171,12,S
AwarenessandEducation,0.10331186741128412,0.2285426106508911,0.23168972106108687,0.445906132296845,0.6556651,12,S
incomeHIC:sanTotal,7.949337062193743,12.356147975899571,12.644770269098323,0.6286659933728157,0.5295677,12,S
gini,0.22969806517071756,0.17424084652176197,0.17786729685726999,1.2914013381281624,0.1965645,12,S
incomeHIC:infTotal,-0.13946047768571698,0.16594347416285524,0.16981968106387885,0.8212268260782916,0.4115171,12,S
incomeHIC:workTotal,-0.5059771009155424,1.3475694757532095,1.3790468093927182,0.366903499916987,0.713691,12,S
incomeHIC:vacTotal,-3.175050979733892,5.9694523746688635,6.108890412872856,0.519742664403231,0.6032429,12,S
GDPcap_mean,-0.2839635615642977,0.14088933209151464,0.14411800730267663,1.9703544815736833,0.0487978,12,S
incomeHIC:MonitoringandSurveillance,-2.409447555960178,3.721076599201001,3.807995731549075,0.6327337859121039,0.5269075,12,S
(Intercept),0,0,0,NA,NA,13,E
incomeHIC,1.0196567029775527,0.219683537024602,0.23234785107631203,4.388492074508828,1.14e-5,13,E
meantmpAreaPop,0.5409998074106529,0.16200255259232538,0.17714351492352873,3.0540198304419874,0.002258,13,E
RESPONSE,-0.37506749495379055,0.12529397709947365,0.13730822219537447,2.7315734553762616,0.0063033,13,E
General,-0.34525869511087315,0.13076875820279957,0.14337262394153308,2.408121478279344,0.0160348,13,E
AwarenessandEducation,-0.32262630925634234,0.14693279017850563,0.16018888536591883,2.014036794871057,0.0440057,13,E
workTotal,0.5545572367823404,0.29749280474698875,0.31425762493352316,1.7646580155362952,0.0776213,13,E
x0008,0.5599053420947088,0.30247592255670175,0.31626671573954124,1.7703581003946494,0.0766675,13,E
MonitoringandSurveillance,-0.4163203489548372,0.18969264483246967,0.20690744324472304,2.012109097798032,0.0442084,13,E
incomeHIC:meantmpAreaPop,NA,NA,NA,NA,NA,13,E
incomeHIC:MonitoringandSurveillance,NA,NA,NA,NA,NA,13,E
GDPcap_mean,-0.31906286731807865,0.1859273361125647,0.201194356322162,1.5858440224196944,0.1127747,13,E
sanTotal,0.32054003003604614,0.193712442445435,0.21142825576995372,1.5160699730920184,0.1295017,13,E
GDPcap_mean:incomeHIC,NA,NA,NA,NA,NA,13,E
General:incomeHIC,NA,NA,NA,NA,NA,13,E
PopDensity,-0.046020317693602084,0.20109403985975283,0.21451375358024705,0.2145331799267893,0.8301313,13,E
gini,0.38953376909090554,0.2873865596385183,0.31014580624275945,1.2559698092000218,0.2091269,13,E
gini:incomeHIC,NA,NA,NA,NA,NA,13,E
incomeHIC:RESPONSE,NA,NA,NA,NA,NA,13,E
infTotal,-0.013390698754164316,0.22273243831769157,0.23715976159253985,0.05646277709272894,0.9549731,13,E
vacTotal,-0.10034453804413165,0.16106428940151896,0.1766594528298055,0.568011144814334,0.5700274,13,E
prod.per.area,0.03922228395379949,0.19112663830475246,0.20599226358985961,0.19040658746239578,0.8489905,13,E
incomeHIC:x0008,NA,NA,NA,NA,NA,13,E
incomeHIC:sanTotal,NA,NA,NA,NA,NA,13,E
AwarenessandEducation:incomeHIC,NA,NA,NA,NA,NA,13,E
(Intercept),0,0,0,NA,NA,14,DPS
DPSIRUSE,0.6617010523726059,0.15123152853759192,0.15170398105027255,4.3617909549343175,1.29e-5,14,DPS
DPSIRRESISTANCE,0.24406859825166033,0.1808329598616582,0.18155866366033943,1.3442960712040968,0.1788527,14,DPS
General,-0.19028845388748472,0.07457585417129736,0.07524983238864488,2.528755850308034,0.0114468,14,DPS
RESPONSE,-0.1714223978817737,0.10203737788617501,0.10264260337991082,1.6700901208369434,0.0949015,14,DPS
workTotal,0.09131005759678865,0.1342584047474325,0.13493856654987899,0.6766787281902583,0.4986098,14,DPS
DPSIRUSE:workTotal,-0.5181921516633056,0.14539025311712858,0.14675638439213887,3.530968371901802,4.14e-4,14,DPS
DPSIRRESISTANCE:workTotal,0.17898167697458808,0.24676657059221654,0.24908526474457818,0.7185558614160614,0.4724146,14,DPS
x0008,0.2741240863878048,0.1349432985795303,0.13598149200890902,2.015892621400603,0.0438112,14,DPS
MonitoringandSurveillance,-0.16202496199686348,0.13033952012044397,0.13083968310326996,1.238347251796532,0.2155873,14,DPS
DPSIRUSE:MonitoringandSurveillance,-0.5374961760153292,0.17910805340770908,0.18079100744431403,2.97302495081723,0.0029488,14,DPS
DPSIRRESISTANCE:MonitoringandSurveillance,-0.4508615495104803,0.3716816968718549,0.37517413174667746,1.2017394360624734,0.2294645,14,DPS
vacTotal,0.11350344176128468,0.0788290961557175,0.07945917240943182,1.4284498355511668,0.1531624,14,DPS
AwarenessandEducation,0.01022889672388928,0.12838001358305207,0.12900200594858557,0.07929254005527682,0.9367999,14,DPS
sanTotal,0.04060036130774674,0.09367531434819948,0.09429910079771955,0.4305487641376171,0.6667965,14,DPS
infTotal,0.0031240810937351307,0.07308427445852157,0.0737611895421387,0.042353995551419193,0.9662165,14,DPS
DPSIRUSE:RESPONSE,-0.5291408484329836,0.23170472693248245,0.23388189539628015,2.2624275707037027,0.023671,14,DPS
DPSIRRESISTANCE:RESPONSE,-0.29779373894061945,0.2858998809481314,0.28858628365058975,1.031905380857178,0.3021164,14,DPS
(Intercept),0,0,0,NA,NA,15,PSE
MonitoringandSurveillance,-0.3459748783297343,0.14461637251193502,0.14625800100899286,2.365510781926122,0.0180052,15,PSE
RESPONSE,-0.29881622303554306,0.19197582158908807,0.1935326192195935,1.5440096054117296,0.122586,15,PSE
incomeHIC,-0.1574924055614191,0.3016784054839768,0.3041041204323136,0.5178897455829546,0.6045352,15,PSE
General,-0.2271674139518927,0.15384361061645146,0.15543345436549327,1.4615091382947774,0.1438758,15,PSE
sanTotal,0.07822941571810398,0.1648006236978796,0.16637626388958213,0.4701957712550992,0.6382152,15,PSE
x0008,0.17246355124397594,0.0989912554012521,0.1002512767036516,1.720312767225777,0.0853756,15,PSE
workTotal,-0.13228272020278525,0.19020208078810458,0.1916277764539933,0.6903107819264614,0.4899988,15,PSE
AwarenessandEducation,0.13382290572194108,0.2117368778695444,0.2134888912462443,0.6268377944198785,0.5307656,15,PSE
infTotal,0.018288697136348255,0.1128541409021951,0.11424408654420465,0.16008440952671787,0.8728146,15,PSE
vacTotal,0.01548140317445642,0.11748724578940652,0.11889132547291,0.13021474117541013,0.8963965,15,PSE
incomeHIC:MonitoringandSurveillance,-0.7944281385981752,0.5025692551634086,0.5094183117900019,1.5594809220868042,0.1188826,15,PSE
DPSIRRESISTANCE,-0.2584058030642642,0.3644436479884364,0.36833991263129895,0.701541685282755,0.482965,15,PSE
DPSIRDRI,-0.2896203479839383,0.922393469802306,0.9241378081444311,0.313395194343866,0.7539804,15,PSE
meantmpAreaPop,0.18357710996201707,0.1932624519152928,0.19431688567807207,0.9447306101135865,0.3447964,15,PSE
DPSIRRESISTANCE:workTotal,0.7097855830065163,0.3110576913254238,0.3153944675640872,2.2504693518832575,0.0244192,15,PSE
DPSIRDRI:workTotal,1.0523041177530041,0.3548841874524663,0.3598319940958683,2.924431776549152,0.0034509,15,PSE
incomeHIC:infTotal,-0.03662205744609267,0.13376242080926345,0.13558534647616477,0.27010335849627115,0.7870807,15,PSE
incomeHIC:sanTotal,-0.7630784937129725,1.7507276166951355,1.7745866818116178,0.43000350534242177,0.6671931,15,PSE
incomeHIC:RESPONSE,-0.11439424105267672,0.5131803561628779,0.5201740217779225,0.21991532883876883,0.8259371,15,PSE
GDPcap_mean,-0.20330154209214338,0.16221431990527643,0.16350950971724149,1.243362190026223,0.2137344,15,PSE
incomeHIC:x0008,-0.28799703484276,0.36944019062493094,0.37447495301784106,0.7690688857073947,0.4418524,15,PSE
gini,0.04875766101407583,0.12262509743099331,0.12412859420246632,0.39279959083841026,0.6944675,15,PSE
incomeHIC:meantmpAreaPop,0.7489035687774632,0.23764481795195708,0.2408834617775532,3.108987073047993,0.0018773,15,PSE
DPSIRRESISTANCE:sanTotal,0.05558146370007762,1.4201747806484732,1.4399749026683524,0.038598911409554515,0.9692102,15,PSE
DPSIRDRI:sanTotal,4.078357636756555,1.502774136892881,1.523725861768048,2.6765691513723158,0.007438,15,PSE
General:incomeHIC,0.03055813291256467,0.37484156818243336,0.3799499410088765,0.08042673419404679,0.9358979,15,PSE
AwarenessandEducation:incomeHIC,-0.6103268156650461,0.4247103028047953,0.43049829099532205,1.4177218084976744,0.156272,15,PSE
(Intercept),0,0,0,NA,NA,16,DP
DPSIRUSE,0.8686644875319584,0.2463408319559646,0.24714628133741345,3.514778708509171,4.401e-4,16,DP
workTotal,0.08753337655104096,0.15689687879583727,0.15759980196678874,0.5554155237421364,0.5786105,16,DP
DPSIRUSE:workTotal,-0.5507360604647159,0.15289308768300744,0.1546586668807273,3.5609776779560844,3.695e-4,16,DP
MonitoringandSurveillance,-0.11702153902399909,0.18587124528513824,0.1863759480140333,0.6278789740357907,0.5300832,16,DP
DPSIRUSE:MonitoringandSurveillance,-0.5575667864361475,0.18064820879569224,0.1827342986535693,3.0512432014374697,0.002279,16,DP
x0008,0.2890349286664737,0.11569031214241195,0.11675212782021754,2.475628787781481,0.0133002,16,DP
RESPONSE,-0.14901841107604993,0.13415799908751813,0.13477276502273156,1.1057012227278682,0.2688559,16,DP
General,-0.15479385957775607,0.09534349491892899,0.09609910524752638,1.6107731615091236,0.1072292,16,DP
DPSIRUSE:RESPONSE,-0.5407258198218304,0.22969186704615097,0.23234430338900855,2.32726093101799,0.0199514,16,DP
DPSIRUSE:General,-0.3407282536490645,0.18625820873779372,0.1884090817676708,1.8084492024074512,0.0705366,16,DP
AwarenessandEducation,-0.10106938842887038,0.07437455832250321,0.07522530451869094,1.3435557233770725,0.1790921,16,DP
sanTotal,0.08208062825910971,0.10903268246228004,0.10985601789458989,0.7471655156649544,0.4549637,16,DP
infTotal,-0.005634798657587228,0.07499999616019708,0.07585789653482124,0.07428097686574624,0.9407868,16,DP
