variable_names,importance score,rank,mod_number,mod_names
meantmpAreaPop,0.0141904061430964,6,10,Dr
GDPcap_mean,0.0100313735367359,7,10,Dr
sanTotal,0.183658912431534,1,11,P
AwarenessandEducation,0.134574228384785,2,11,P
RESPONSE,0.124281787053117,3,11,P
General,0.102985324511608,4,11,P
MonitoringandSurveillance,0.0884323412451866,5,11,P
workTotal,0.086942265790621,6,11,P
infTotal,0.0746084092937441,7,11,P
vacTotal,0.048021219222912,8,11,P
x0008,0.0294745512557104,9,11,P
GDPcap_mean,0.0240784867532652,10,11,P
meantmpAreaPop,0.013368650605873,11,11,P
prod.per.area,0.00903719516087463,12,11,P
gini,0.00512161303514816,13,11,P
workTotal,0.142247178973557,1,12,S
vacTotal,0.1370553063217,2,12,S
sanTotal,0.108082729657516,3,12,S
PopDensity,0.10210445609945,4,12,S
prod.per.area,0.10210445609945,5,12,S
meantmpAreaPop,0.0646406084106079,6,12,S
MonitoringandSurveillance,0.0646406084106079,7,12,S
gini,0.0491713000347109,8,12,S
infTotal,0.0491713000347109,9,12,S
GDPcap_mean,0.0374638476444722,10,12,S
General,0.0374638476444722,11,12,S
RESPONSE,0.0139493049688192,12,12,S
DPSIR,1,1,13,DPS
x0008,1,2,13,DPS
DPSIR:x0008,0.532286333578394,3,13,DPS
workTotal,0.106953626706012,4,13,DPS
RESPONSE,0.0258740730865863,5,13,DPS
General,0.0220819083218566,6,13,DPS
sanTotal,0.018264375419133,7,13,DPS
DPSIR,1,1,14,PSE
x0008,1,2,14,PSE
DPSIR:x0008,0.177150662347915,3,14,PSE
sanTotal,0.0618815966515892,4,14,PSE
AwarenessandEducation,0.045050134197228,5,14,PSE
workTotal,0.0350877845624828,6,14,PSE
infTotal,0.0341135633584255,7,14,PSE
RESPONSE,0.030584736716271,8,14,PSE
General,0.0288738565967647,9,14,PSE
MonitoringandSurveillance,0.0252638110317662,10,14,PSE
DPSIR,1,1,15,DP
x0008,1,2,15,DP
DPSIR:x0008,0.361622830530734,3,15,DP
workTotal,0.231067539256929,4,15,DP
RESPONSE,0.0242785318048192,5,15,DP
sanTotal,0.0235231959892218,6,15,DP
infTotal,0.0206186733415436,7,15,DP
x0008,1,1,16,PS
sanTotal,0.114515549419131,2,16,PS
AwarenessandEducation,0.0877562278307488,3,16,PS
workTotal,0.0624400053978,4,16,PS
RESPONSE,0.0573697554998812,5,16,PS
infTotal,0.0536680586288444,6,16,PS
General,0.0474469303300858,7,16,PS
MonitoringandSurveillance,0.0414816496870188,8,16,PS
vacTotal,0.0282431459199297,9,16,PS
DPSIR,0.015228989442798,10,16,PS
GDPcap_mean,0.0103258624878023,11,16,PS
prod.per.area,0.00649247859698073,12,16,PS
DPSIR:x0008,0.00396004237178773,13,16,PS
meantmpAreaPop,0.00347540497627615,14,16,PS
