Column1,EORA_a3,Country,Year,CODE,SHORTNAME,GROUP,META_ID,name,Global.Region,Continent
183,AUT,Austria,2016,4,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,15,Austria,Western Europe,Europe
184,AZE,Azerbaijan,2016,0,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,16,Azerbaijan,M. East & C. Asia,Asia
185,AZE,Azerbaijan,2016,1,AMR Surveillance System (Humans),Monitoring and Surveillance,16,Azerbaijan,M. East & C. Asia,Asia
186,AZE,Azerbaijan,2016,1,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,16,Azerbaijan,M. East & C. Asia,Asia
187,AZE,Azerbaijan,2016,1,One Health Arrangements,General,16,Azerbaijan,M. East & C. Asia,Asia
188,AZE,Azerbaijan,2016,0,NAP progress,General,16,Azerbaijan,M. East & C. Asia,Asia
189,AZE,Azerbaijan,2016,0,NAP published,General,16,Azerbaijan,M. East & C. Asia,Asia
190,AZE,Azerbaijan,2016,2,AMR Awareness (Human Health),Awareness and Education,16,Azerbaijan,M. East & C. Asia,Asia
191,AZE,Azerbaijan,2016,1,AMR Awareness (Animal Health and Food Prod),Awareness and Education,16,Azerbaijan,M. East & C. Asia,Asia
192,AZE,Azerbaijan,2016,3,AMR Training (Human Health),Awareness and Education,16,Azerbaijan,M. East & C. Asia,Asia
193,AZE,Azerbaijan,2016,3,AMR Training (Animal Health and Food Prod),Awareness and Education,16,Azerbaijan,M. East & C. Asia,Asia
194,AZE,Azerbaijan,2016,3,Veterinary Services,General,16,Azerbaijan,M. East & C. Asia,Asia
195,AZE,Azerbaijan,2016,0,Monitoring System for AMU (Human Health),Monitoring and Surveillance,16,Azerbaijan,M. East & C. Asia,Asia
196,AZE,Azerbaijan,2016,0,AMS and Regulation (Human),Regulation,16,Azerbaijan,M. East & C. Asia,Asia
197,AZE,Azerbaijan,2016,2,AMS and Regulation (Ani&Crop),Regulation,16,Azerbaijan,M. East & C. Asia,Asia
198,AZE,Azerbaijan,2016,2,Contamination Prevention,Regulation,16,Azerbaijan,M. East & C. Asia,Asia
199,AZE,Azerbaijan,2016,3,IPC,Prevention,16,Azerbaijan,M. East & C. Asia,Asia
200,AZE,Azerbaijan,2016,3,AMU Prevention,Prevention,16,Azerbaijan,M. East & C. Asia,Asia
210,BEL,Belgium,2016,3,AMR Training (Animal Health and Food Prod),Awareness and Education,22,Belgium,Western Europe,Europe
211,BEL,Belgium,2016,4,Veterinary Services,General,22,Belgium,Western Europe,Europe
212,BEL,Belgium,2016,4,Monitoring System for AMU (Human Health),Monitoring and Surveillance,22,Belgium,Western Europe,Europe
213,BEL,Belgium,2016,3,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,22,Belgium,Western Europe,Europe
222,BEL,Belgium,2016,3,AMS and Regulation (Human),Regulation,22,Belgium,Western Europe,Europe
223,BEL,Belgium,2016,3,AMR Surveillance System (Humans),Monitoring and Surveillance,22,Belgium,Western Europe,Europe
224,BEL,Belgium,2016,3,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,22,Belgium,Western Europe,Europe
225,BEL,Belgium,2016,3,IPC,Prevention,22,Belgium,Western Europe,Europe
226,BEL,Belgium,2016,3,AMU Prevention,Prevention,22,Belgium,Western Europe,Europe
227,BEL,Belgium,2016,1,One Health Arrangements,General,22,Belgium,Western Europe,Europe
228,BEL,Belgium,2016,2,NAP progress,General,22,Belgium,Western Europe,Europe
229,BEL,Belgium,2016,0,NAP published,General,22,Belgium,Western Europe,Europe
230,BEL,Belgium,2016,4,AMR Awareness (Human Health),Awareness and Education,22,Belgium,Western Europe,Europe
231,BEL,Belgium,2016,3,AMR Awareness (Animal Health and Food Prod),Awareness and Education,22,Belgium,Western Europe,Europe
232,BEL,Belgium,2016,3,AMR Training (Human Health),Awareness and Education,22,Belgium,Western Europe,Europe
234,BEL,Belgium,2016,4,AMS and Regulation (Ani&Crop),Regulation,22,Belgium,Western Europe,Europe
235,BEN,Benin,2016,2,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,24,Benin,Africa,Africa
236,BEN,Benin,2016,1,AMR Surveillance System (Humans),Monitoring and Surveillance,24,Benin,Africa,Africa
237,BEN,Benin,2016,1,Monitoring System for AMU (Human Health),Monitoring and Surveillance,24,Benin,Africa,Africa
238,BEN,Benin,2016,0,One Health Arrangements,General,24,Benin,Africa,Africa
239,BEN,Benin,2016,0,NAP progress,General,24,Benin,Africa,Africa
240,BEN,Benin,2016,0,NAP published,General,24,Benin,Africa,Africa
241,BEN,Benin,2016,3,AMR Awareness (Human Health),Awareness and Education,24,Benin,Africa,Africa
242,BEN,Benin,2016,2,AMR Awareness (Animal Health and Food Prod),Awareness and Education,24,Benin,Africa,Africa
243,BEN,Benin,2016,1,AMR Training (Human Health),Awareness and Education,24,Benin,Africa,Africa
244,BEN,Benin,2016,0,AMR Training (Animal Health and Food Prod),Awareness and Education,24,Benin,Africa,Africa
245,BEN,Benin,2016,1,Veterinary Services,General,24,Benin,Africa,Africa
249,BEN,Benin,2016,1,AMS and Regulation (Human),Regulation,24,Benin,Africa,Africa
250,BEN,Benin,2016,1,AMS and Regulation (Ani&Crop),Regulation,24,Benin,Africa,Africa
251,BEN,Benin,2016,2,Contamination Prevention,Regulation,24,Benin,Africa,Africa
252,BEN,Benin,2016,0,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,24,Benin,Africa,Africa
253,BEN,Benin,2016,1,IPC,Prevention,24,Benin,Africa,Africa
254,BEN,Benin,2016,1,AMU Prevention,Prevention,24,Benin,Africa,Africa
260,BFA,Burkina Faso,2016,1,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,34,Burkina Faso,Africa,Africa
261,BFA,Burkina Faso,2016,1,AMR Training (Animal Health and Food Prod),Awareness and Education,34,Burkina Faso,Africa,Africa
262,BFA,Burkina Faso,2016,1,Veterinary Services,General,34,Burkina Faso,Africa,Africa
263,BFA,Burkina Faso,2016,1,Monitoring System for AMU (Human Health),Monitoring and Surveillance,34,Burkina Faso,Africa,Africa
264,BFA,Burkina Faso,2016,1,One Health Arrangements,General,34,Burkina Faso,Africa,Africa
265,BFA,Burkina Faso,2016,1,NAP progress,General,34,Burkina Faso,Africa,Africa
266,BFA,Burkina Faso,2016,0,NAP published,General,34,Burkina Faso,Africa,Africa
267,BFA,Burkina Faso,2016,2,AMR Awareness (Human Health),Awareness and Education,34,Burkina Faso,Africa,Africa
268,BFA,Burkina Faso,2016,1,AMR Awareness (Animal Health and Food Prod),Awareness and Education,34,Burkina Faso,Africa,Africa
269,BFA,Burkina Faso,2016,1,AMR Training (Human Health),Awareness and Education,34,Burkina Faso,Africa,Africa
273,BFA,Burkina Faso,2016,1,AMS and Regulation (Human),Regulation,34,Burkina Faso,Africa,Africa
274,BFA,Burkina Faso,2016,1,AMR Surveillance System (Humans),Monitoring and Surveillance,34,Burkina Faso,Africa,Africa
275,BFA,Burkina Faso,2016,1,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,34,Burkina Faso,Africa,Africa
276,BFA,Burkina Faso,2016,1,IPC,Prevention,34,Burkina Faso,Africa,Africa
277,BFA,Burkina Faso,2016,0,AMU Prevention,Prevention,34,Burkina Faso,Africa,Africa
283,BFA,Burkina Faso,2016,2,AMS and Regulation (Ani&Crop),Regulation,34,Burkina Faso,Africa,Africa
284,BFA,Burkina Faso,2016,2,Contamination Prevention,Regulation,34,Burkina Faso,Africa,Africa
285,BGD,Bangladesh,2016,2,NAP progress,General,19,Bangladesh,Asia-Pacific,Asia
286,BGD,Bangladesh,2016,0,NAP published,General,19,Bangladesh,Asia-Pacific,Asia
287,BGD,Bangladesh,2016,1,AMR Awareness (Human Health),Awareness and Education,19,Bangladesh,Asia-Pacific,Asia
288,BGD,Bangladesh,2016,1,One Health Arrangements,General,19,Bangladesh,Asia-Pacific,Asia
289,BGD,Bangladesh,2016,0,AMU Prevention,Prevention,19,Bangladesh,Asia-Pacific,Asia
293,BGD,Bangladesh,2016,1,AMR Awareness (Animal Health and Food Prod),Awareness and Education,19,Bangladesh,Asia-Pacific,Asia
294,BGD,Bangladesh,2016,1,AMR Training (Human Health),Awareness and Education,19,Bangladesh,Asia-Pacific,Asia
295,BGD,Bangladesh,2016,1,AMR Training (Animal Health and Food Prod),Awareness and Education,19,Bangladesh,Asia-Pacific,Asia
296,BGD,Bangladesh,2016,1,Veterinary Services,General,19,Bangladesh,Asia-Pacific,Asia
297,BGD,Bangladesh,2016,0,Monitoring System for AMU (Human Health),Monitoring and Surveillance,19,Bangladesh,Asia-Pacific,Asia
298,BGD,Bangladesh,2016,0,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,19,Bangladesh,Asia-Pacific,Asia
299,BGD,Bangladesh,2016,0,AMR Surveillance System (Humans),Monitoring and Surveillance,19,Bangladesh,Asia-Pacific,Asia
300,BGD,Bangladesh,2016,0,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,19,Bangladesh,Asia-Pacific,Asia
301,BGD,Bangladesh,2016,1,IPC,Prevention,19,Bangladesh,Asia-Pacific,Asia
307,BGD,Bangladesh,2016,0,AMS and Regulation (Human),Regulation,19,Bangladesh,Asia-Pacific,Asia
308,BGD,Bangladesh,2016,0,AMS and Regulation (Ani&Crop),Regulation,19,Bangladesh,Asia-Pacific,Asia
309,BGD,Bangladesh,2016,0,Contamination Prevention,Regulation,19,Bangladesh,Asia-Pacific,Asia
310,BGR,Bulgaria,2016,2,AMR Training (Human Health),Awareness and Education,33,Bulgaria,Other Europe,Europe
311,BGR,Bulgaria,2016,1,AMR Training (Animal Health and Food Prod),Awareness and Education,33,Bulgaria,Other Europe,Europe
312,BGR,Bulgaria,2016,0,Veterinary Services,General,33,Bulgaria,Other Europe,Europe
313,BGR,Bulgaria,2016,0,One Health Arrangements,General,33,Bulgaria,Other Europe,Europe
314,BGR,Bulgaria,2016,1,NAP progress,General,33,Bulgaria,Other Europe,Europe
315,BGR,Bulgaria,2016,0,NAP published,General,33,Bulgaria,Other Europe,Europe
316,BGR,Bulgaria,2016,1,AMR Awareness (Human Health),Awareness and Education,33,Bulgaria,Other Europe,Europe
317,BGR,Bulgaria,2016,1,AMR Awareness (Animal Health and Food Prod),Awareness and Education,33,Bulgaria,Other Europe,Europe
323,BGR,Bulgaria,2016,0,AMS and Regulation (Human),Regulation,33,Bulgaria,Other Europe,Europe
324,BGR,Bulgaria,2016,4,AMS and Regulation (Ani&Crop),Regulation,33,Bulgaria,Other Europe,Europe
325,BGR,Bulgaria,2016,1,Contamination Prevention,Regulation,33,Bulgaria,Other Europe,Europe
326,BGR,Bulgaria,2016,2,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,33,Bulgaria,Other Europe,Europe
327,BGR,Bulgaria,2016,0,IPC,Prevention,33,Bulgaria,Other Europe,Europe
328,BGR,Bulgaria,2016,0,AMU Prevention,Prevention,33,Bulgaria,Other Europe,Europe
332,BGR,Bulgaria,2016,2,Monitoring System for AMU (Human Health),Monitoring and Surveillance,33,Bulgaria,Other Europe,Europe
333,BGR,Bulgaria,2016,3,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,33,Bulgaria,Other Europe,Europe
334,BGR,Bulgaria,2016,3,AMR Surveillance System (Humans),Monitoring and Surveillance,33,Bulgaria,Other Europe,Europe
335,BHR,Bahrain,2016,1,One Health Arrangements,General,18,Bahrain,M. East & C. Asia,Asia
336,BHR,Bahrain,2016,2,NAP progress,General,18,Bahrain,M. East & C. Asia,Asia
337,BHR,Bahrain,2016,4,IPC,Prevention,18,Bahrain,M. East & C. Asia,Asia
338,BHR,Bahrain,2016,1,AMU Prevention,Prevention,18,Bahrain,M. East & C. Asia,Asia
340,BHR,Bahrain,2016,0,NAP published,General,18,Bahrain,M. East & C. Asia,Asia
341,BHR,Bahrain,2016,3,AMR Awareness (Human Health),Awareness and Education,18,Bahrain,M. East & C. Asia,Asia
342,BHR,Bahrain,2016,1,AMR Awareness (Animal Health and Food Prod),Awareness and Education,18,Bahrain,M. East & C. Asia,Asia
343,BHR,Bahrain,2016,3,AMR Training (Human Health),Awareness and Education,18,Bahrain,M. East & C. Asia,Asia
344,BHR,Bahrain,2016,2,AMR Training (Animal Health and Food Prod),Awareness and Education,18,Bahrain,M. East & C. Asia,Asia
345,BHR,Bahrain,2016,1,Veterinary Services,General,18,Bahrain,M. East & C. Asia,Asia
346,BHR,Bahrain,2016,2,Monitoring System for AMU (Human Health),Monitoring and Surveillance,18,Bahrain,M. East & C. Asia,Asia
347,BHR,Bahrain,2016,3,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,18,Bahrain,M. East & C. Asia,Asia
348,BHR,Bahrain,2016,3,AMR Surveillance System (Humans),Monitoring and Surveillance,18,Bahrain,M. East & C. Asia,Asia
349,BHR,Bahrain,2016,1,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,18,Bahrain,M. East & C. Asia,Asia
350,BHR,Bahrain,2016,2,Contamination Prevention,Regulation,18,Bahrain,M. East & C. Asia,Asia
358,BHR,Bahrain,2016,2,AMS and Regulation (Human),Regulation,18,Bahrain,M. East & C. Asia,Asia
359,BHR,Bahrain,2016,2,AMS and Regulation (Ani&Crop),Regulation,18,Bahrain,M. East & C. Asia,Asia
360,BHS,Bahamas,2016,2,AMR Surveillance System (Humans),Monitoring and Surveillance,17,Bahamas,North America,North America and Caribbean
361,BHS,Bahamas,2016,0,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,17,Bahamas,North America,North America and Caribbean
362,BHS,Bahamas,2016,2,IPC,Prevention,17,Bahamas,North America,North America and Caribbean
363,BHS,Bahamas,2016,0,AMU Prevention,Prevention,17,Bahamas,North America,North America and Caribbean
372,BHS,Bahamas,2016,2,AMS and Regulation (Human),Regulation,17,Bahamas,North America,North America and Caribbean
373,BHS,Bahamas,2016,0,AMS and Regulation (Ani&Crop),Regulation,17,Bahamas,North America,North America and Caribbean
374,BHS,Bahamas,2016,3,Contamination Prevention,Regulation,17,Bahamas,North America,North America and Caribbean
375,BHS,Bahamas,2016,0,NAP published,General,17,Bahamas,North America,North America and Caribbean
376,BHS,Bahamas,2016,1,AMR Awareness (Human Health),Awareness and Education,17,Bahamas,North America,North America and Caribbean
377,BHS,Bahamas,2016,1,One Health Arrangements,General,17,Bahamas,North America,North America and Caribbean
378,BHS,Bahamas,2016,1,NAP progress,General,17,Bahamas,North America,North America and Caribbean
379,BHS,Bahamas,2016,0,AMR Training (Animal Health and Food Prod),Awareness and Education,17,Bahamas,North America,North America and Caribbean
380,BHS,Bahamas,2016,2,Veterinary Services,General,17,Bahamas,North America,North America and Caribbean
381,BHS,Bahamas,2016,0,AMR Awareness (Animal Health and Food Prod),Awareness and Education,17,Bahamas,North America,North America and Caribbean
382,BHS,Bahamas,2016,2,AMR Training (Human Health),Awareness and Education,17,Bahamas,North America,North America and Caribbean
383,BHS,Bahamas,2016,0,Monitoring System for AMU (Human Health),Monitoring and Surveillance,17,Bahamas,North America,North America and Caribbean
384,BHS,Bahamas,2016,0,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,17,Bahamas,North America,North America and Caribbean
387,BLR,Belarus,2016,4,AMR Training (Human Health),Awareness and Education,21,Belarus,Other Europe,Europe
388,BLR,Belarus,2016,4,AMR Training (Animal Health and Food Prod),Awareness and Education,21,Belarus,Other Europe,Europe
